Wellenlänge in nm, Intensität
405.1020408,0.0003470810008
415.3061224,0.0002911001942
425.5102041,0.0003246886782
435.7142857,0.0003806694847
445.9183673,0.0005710042271
456.122449,0.0004926310979
466.3265306,0.0005822003884
476.5306122,0.0005598080658
486.7346939,0.0006157888724
496.9387755,0.0007389466469
507.1428571,0.0007389466469
517.3469388,0.0009404775506
527.5510204,0.00085090826
537.755102,0.001466697132
547.9591837,0.001433108648
558.1632653,0.001679424197
568.3673469,0.001880955101
578.5714286,0.002082486005
588.7755102,0.002731863361
598.9795918,0.003470810008
609.1836735,0.004646406946
619.3877551,0.005351765109
629.5918367,0.00638181195
639.7959184,0.006493773563
650,0.006583342854
660.2040816,0.006930423855
670.4081633,0.006404204273
680.6122449,0.005553296013
690.8163265,0.004444876042
701.0204082,0.003493202331
711.2244898,0.002776648006
721.4285714,0.002776648006
731.6326531,0.001914543585
741.8367347,0.001746601165
752.0408163,0.001388324003
762.244898,0.001097223809
772.4489796,0.001220381583
782.6530612,0.001074831486
792.8571429,0.0007837312921
803.0612245,0.0007949274534
813.2653061,0.0005933965498
823.4693878,0.0005486119045
833.6734694,0.0005150234205
843.877551,0.0004814349366
854.0816327,0.0004478464526
864.2857143,0.0004030618074
874.4897959,0.0004142579687
884.6938776,0.000246315549
894.8979592,0.0003134925169
